case,method,m,maxn,status,iter,ap,pObj,wall_ms
truss1,nt,6,2,optimal,14,2.008073668351044e-8,-8.999996331143286,143
truss1,hsde-nt,6,2,optimal,13,2.4847713141872564e-7,-8.999996249488213,114
truss4,nt,12,3,optimal,14,5.462631891944781e-8,-9.00999632281104,152
truss4,hsde-nt,12,3,optimal,11,1.8997935872731496e-7,-9.009996267619425,145
hinf6,nt,13,6,optimal,17,0.19179311405969202,449.0436432831135,446
hinf6,hsde-nt,13,6,optimal,24,0.0000826982141006738,448.9347029932297,205
hinf8,nt,13,6,optimal,14,0.05487985291983932,116.20664006694537,229
hinf8,hsde-nt,13,6,optimal,16,0.0010269872145727277,116.16202864412386,211
hinf1,nt,13,6,optimal,12,0.0002517744981727077,2.033017799355618,164
hinf1,hsde-nt,13,6,optimal,29,7.661278687010054e-7,2.0326028704375703,173
hinf2,nt,13,6,optimal,15,0.0005188775655624589,10.96731376526905,164
hinf2,hsde-nt,13,6,optimal,21,9.66497295973312e-7,10.967214898300666,196
hinf7,nt,13,6,optimal,16,0.01061972975730896,390.8097823487469,187
hinf7,hsde-nt,13,6,optimal,27,0.0005819797515869141,390.81237334900845,205
hinf3,nt,13,6,optimal,40,0.0000020707831534516608,56.94798457299963,194
hinf3,hsde-nt,13,6,optimal,98,0.00007532374002039433,56.940875212921874,250
hinf5,nt,13,6,optimal,15,0.22972285639843903,362.31110786151135,308
hinf5,hsde-nt,13,6,optimal,19,0.004173265595454723,362.2921003948387,182
hinf9,nt,13,6,optimal,33,0.000001779182639438659,236.24926267666166,296
hinf9,hsde-nt,13,6,optimal,26,0.000005444780981633812,236.24925752726367,399
hinf4,nt,13,6,optimal,13,0.000883946132262281,274.7643930832833,198
hinf4,hsde-nt,13,6,optimal,21,0.00037140185258977,274.76438851028604,189
hinf10,nt,21,8,optimal,22,0.005434161710145693,108.87985526093337,212
hinf10,hsde-nt,21,8,optimal,119,0.007598929435764029,108.7123715898784,330
truss3,nt,27,5,optimal,13,3.765368534409131e-8,-9.109996218688204,197
truss3,hsde-nt,27,5,optimal,14,1.8126378044198523e-7,-9.109996154054054,212
control1,nt,21,10,optimal,38,1.2270447768969461e-8,17.784626687782275,245
